iter Noise Position TauMean TauVar KsiMean KsiVar Delta#1 Beta#1 S#1 NuMean NuVar
9900 0.13361 0.514908 69.6026 51.7087 0 0.00115721 0.0529228 0.0697928 0 -0.0463897 0.00665166
10000 0.132907 0.514857 69.6014 51.5586 0 0.00116405 0.0526387 0.0652935 0 -0.0466526 0.00664515
10100 0.132958 0.511244 69.5696 51.4253 0 0.00116891 0.0731006 0.0657039 0 -0.047095 0.00654748
10200 0.133577 0.507147 69.5405 51.6409 0 0.00117627 0.0741306 0.0704287 0 -0.047095 0.00654748
10300 0.134311 0.503778 69.5311 51.5916 0 0.00117969 0.0754896 0.070551 0 -0.047095 0.00654748
10400 0.134497 0.504026 69.5386 51.4772 0 0.00118247 0.0709812 0.0677577 0 -0.0467345 0.00654917
10500 0.134866 0.502304 69.5341 51.3553 0 0.00119107 0.0906261 0.0641078 0 -0.0464395 0.00655322
10600 0.135612 0.49961 69.5102 51.3033 0 0.00119552 0.0964946 0.065974 0 -0.0464395 0.00655322
10700 0.135276 0.499466 69.5633 51.3927 0 0.00119382 0.0967145 0.0677227 0 -0.0469038 0.0065812
10800 0.135453 0.497383 69.5485 51.3192 0 0.00119589 0.0913092 0.0647602 0 -0.0466947 0.00652689
10900 0.135198 0.496235 69.5164 51.425 0 0.00119946 0.084972 0.0652175 0 -0.0470065 0.00655365
11000 0.135138 0.495167 69.4989 51.2453 0 0.0011998 0.084687 0.0651681 0 -0.0465978 0.00658791
11100 0.13535 0.494548 69.4842 51.2418 0 0.00120366 0.0890483 0.0650456 0 -0.0460698 0.0066087
11200 0.13557 0.491934 69.4465 51.3378 0 0.00121564 0.0795316 0.0727928 0 -0.0459107 0.00661135
11300 0.135628 0.488403 69.4455 51.1718 0 0.00122482 0.075022 0.0731254 0 -0.0463053 0.00665201
11400 0.135833 0.488601 69.3858 51.201 0 0.00122748 0.0791754 0.0713354 0 -0.0461672 0.00662015
11500 0.135598 0.486007 69.3396 51.2185 0 0.00123242 0.104782 0.0734264 0 -0.0461789 0.00662096
11600 0.136012 0.484632 69.3214 51.3039 0 0.00123672 0.0961244 0.0704854 0 -0.0461789 0.00662096
11700 0.135954 0.487038 69.3196 51.1142 0 0.00123825 0.098876 0.0772653 0 -0.0448639 0.00662817
11800 0.1363 0.485006 69.3296 51.1281 0 0.00125123 0.103274 0.0778266 0 -0.0448639 0.00662817
11900 0.136351 0.479973 69.2934 51.1568 0 0.00125448 0.110383 0.0806978 0 -0.0457412 0.00643013
