P0, T0, V0, sigmaKsi, sigmaTau, sigma, 
0.481295, 70.0271, -0.0108958, 0.0223454, 0.00328682, 0.0287352, 
0.481773, 70.0267, -0.0113154, 0.0224966, 0.00328481, 0.0287948, 
0.48243, 70.0261, -0.0121484, 0.0226668, 0.00328296, 0.0288551, 
0.483009, 70.0261, -0.0131067, 0.0228254, 0.00328227, 0.028844, 
0.483557, 70.0261, -0.0138323, 0.0229532, 0.00328199, 0.0288852, 
0.48364, 70.026, -0.0149399, 0.0230847, 0.00328155, 0.0289096, 
0.48309, 70.0252, -0.016478, 0.0232138, 0.00328013, 0.0288954, 
0.483122, 70.024, -0.0181117, 0.0232916, 0.00327676, 0.0288544, 
0.482749, 70.0233, -0.0195783, 0.0233589, 0.00327435, 0.0288021, 
0.482139, 70.0223, -0.0208759, 0.0234326, 0.00327268, 0.0287505, 
0.482249, 70.0217, -0.0212863, 0.0234896, 0.00327008, 0.0286838, 
0.48297, 70.0212, -0.0213319, 0.0235807, 0.00326653, 0.0287201, 
0.483652, 70.0208, -0.021171, 0.0236449, 0.00326257, 0.0287383, 
0.483822, 70.0203, -0.0212429, 0.0236916, 0.00325845, 0.0286606, 
0.483846, 70.0199, -0.0214568, 0.0237354, 0.00325387, 0.0285849, 
0.483877, 70.0192, -0.0217129, 0.0237865, 0.00325112, 0.0285155, 
0.483461, 70.0178, -0.0219894, 0.0238088, 0.00324869, 0.0284982, 
0.482861, 70.0162, -0.022141, 0.0238517, 0.00324543, 0.0284711, 
0.483311, 70.0141, -0.0224921, 0.0239011, 0.00324431, 0.0285803, 
0.483033, 70.0116, -0.0231456, 0.0239104, 0.00324346, 0.0286294, 
0.482118, 70.0092, -0.0236862, 0.0239095, 0.00324114, 0.0285498, 
0.481576, 70.007, -0.0239089, 0.0239072, 0.00323953, 0.0285501, 
0.480873, 70.0051, -0.0237869, 0.023897, 0.00323762, 0.0284964, 
0.480511, 70.003, -0.023747, 0.0239306, 0.00323518, 0.0284648, 
0.47925, 70.0012, -0.02396, 0.0239764, 0.00323431, 0.0283984, 
0.479014, 69.9999, -0.0237224, 0.0240307, 0.00323402, 0.0283618, 
0.478435, 69.999, -0.0236803, 0.0240858, 0.0032351, 0.0282971, 
0.477709, 69.9978, -0.0235301, 0.0241229, 0.00323663, 0.0282458, 
0.476973, 69.9972, -0.023395, 0.0241674, 0.00323676, 0.0282153, 
0.476273, 69.9971, -0.0232689, 0.0242104, 0.00323726, 0.028238, 
0.4755, 69.9972, -0.0228676, 0.0242767, 0.0032378, 0.0282766, 
0.475051, 69.9976, -0.022731, 0.0243268, 0.00323786, 0.0283545, 
0.474877, 69.998, -0.0225108, 0.0243664, 0.00323825, 0.0284095, 
0.474839, 69.9997, -0.0221414, 0.0243997, 0.00323792, 0.0284474, 
0.475701, 70.0016, -0.0220225, 0.0244391, 0.00323779, 0.0284298, 
0.476521, 70.0034, -0.0220185, 0.0244555, 0.00323667, 0.028423, 
0.476175, 70.0051, -0.0220896, 0.0244952, 0.00323547, 0.0284969, 
0.476405, 70.0068, -0.0220812, 0.0245069, 0.00323474, 0.0285027, 
0.476624, 70.009, -0.0216705, 0.0245436, 0.00323393, 0.0285722, 
0.477367, 70.0111, -0.0214339, 0.0245908, 0.00323219, 0.0286117, 
0.478074, 70.0133, -0.0211199, 0.0246265, 0.00323124, 0.0286686, 
0.478578, 70.0157, -0.0211255, 0.0246831, 0.00323067, 0.0287989, 
0.479038, 70.0172, -0.0211217, 0.024748, 0.00323047, 0.0288668, 
0.479309, 70.018, -0.0208287, 0.0248222, 0.00323026, 0.0289027, 
0.479485, 70.0184, -0.0204583, 0.0248931, 0.00322991, 0.0289322, 
0.480001, 70.0185, -0.0200527, 0.024976, 0.00322865, 0.0289775, 
